# SYNTHETIC example table. Not measured data. See README.md.
model,node,group,energy_mWh,mAP,latency_ms
efficientdet_d2,pi4_coral,1,0.16243,32.58,12.836
efficientdet_d2,pi4_coral,2,0.20967,31.67,16.57
efficientdet_d2,pi4_coral,3,0.25832,30.76,20.415
yolov8m,orin_nano,0,0.08662,35.8,7.01
yolov8m,orin_nano,1,0.10406,34.859,8.421
yolov8m,orin_nano,2,0.13267,33.917,10.736
yolov8m,orin_nano,3,0.16705,32.976,13.519
yolov8m,pi5_aihat_a,0,0.10663,35.263,5.205
yolov8m,pi5_aihat_a,1,0.1266,34.336,6.18
yolov8m,pi5_aihat_a,2,0.15882,33.409,7.753
yolov8m,pi5_aihat_a,3,0.20523,32.482,10.018
yolov8m,pi5_aihat_b,0,0.10766,35.263,5.259
yolov8m,pi5_aihat_b,1,0.13247,34.336,6.471
yolov8m,pi5_aihat_b,2,0.16361,33.409,7.993
yolov8m,pi5_aihat_b,3,0.20999,32.482,10.258
yolov8m,pi5_coral_a,0,0.14917,35.263,8.573
yolov8m,pi5_coral_a,1,0.18425,34.336,10.589
yolov8m,pi5_coral_a,2,0.23491,33.409,13.501
yolov8m,pi5_coral_a,3,0.29076,32.482,16.711
yolov8m,pi5_coral_b,0,0.14834,35.263,8.545
yolov8m,pi5_coral_b,1,0.18033,34.336,10.388
yolov8m,pi5_coral_b,2,0.23071,33.409,13.289
yolov8m,pi5_coral_b,3,0.28465,32.482,16.397
yolov8m,pi4_coral,0,0.17612,35.263,13.919
yolov8m,pi4_coral,1,0.21639,34.336,17.101
yolov8m,pi4_coral,2,0.26926,33.409,21.279
yolov8m,pi4_coral,3,0.33659,32.482,26.6
retinanet_r50,orin_nano,0,0.12781,36.4,10.343
retinanet_r50,orin_nano,1,0.15757,35.485,12.752
retinanet_r50,orin_nano,2,0.19634,34.57,15.889
retinanet_r50,orin_nano,3,0.24721,33.654,20.005
retinanet_r50,pi5_aihat_a,0,0.1576,35.854,7.693
retinanet_r50,pi5_aihat_a,1,0.1873,34.953,9.143
retinanet_r50,pi5_aihat_a,2,0.2398,34.051,11.706
retinanet_r50,pi5_aihat_a,3,0.30476,33.15,14.877
retinanet_r50,pi5_aihat_b,0,0.15754,35.854,7.696
retinanet_r50,pi5_aihat_b,1,0.19256,34.953,9.407
retinanet_r50,pi5_aihat_b,2,0.24766,34.051,12.099
retinanet_r50,pi5_aihat_b,3,0.3011,33.15,14.709
retinanet_r50,pi5_coral_a,0,0.22373,35.854,12.859
retinanet_r50,pi5_coral_a,1,0.27298,34.953,15.689
retinanet_r50,pi5_coral_a,2,0.34296,34.051,19.711
retinanet_r50,pi5_coral_a,3,0.431,33.15,24.771
retinanet_r50,pi5_coral_b,0,0.22216,35.854,12.797
retinanet_r50,pi5_coral_b,1,0.26724,34.953,15.394
retinanet_r50,pi5_coral_b,2,0.33344,34.051,19.207
retinanet_r50,pi5_coral_b,3,0.42835,33.15,24.675
retinanet_r50,pi4_coral,0,0.25957,35.854,20.513
retinanet_r50,pi4_coral,1,0.31153,34.953,24.619
retinanet_r50,pi4_coral,2,0.39506,34.051,31.22
retinanet_r50,pi4_coral,3,0.49795,33.15,39.352
ssd_vgg,orin_nano,0,0.14341,29.6,11.605
ssd_vgg,orin_nano,1,0.17419,28.863,14.096
ssd_vgg,orin_nano,2,0.22137,28.127,17.914
ssd_vgg,orin_nano,3,0.27364,27.39,22.145
ssd_vgg,pi5_aihat_a,0,0.56983,29.6,43.833
ssd_vgg,pi5_aihat_a,1,0.69302,28.863,53.309
ssd_vgg,pi5_aihat_a,2,0.86205,28.127,66.311
ssd_vgg,pi5_aihat_a,3,1.10283,27.39,84.833
ssd_vgg,pi5_aihat_b,0,0.58448,29.6,44.992
ssd_vgg,pi5_aihat_b,1,0.70396,28.863,54.19
ssd_vgg,pi5_aihat_b,2,0.89312,28.127,68.751
ssd_vgg,pi5_aihat_b,3,1.12798,27.39,86.83
ssd_vgg,pi5_coral_a,0,0.62986,29.6,58.205
ssd_vgg,pi5_coral_a,1,0.77141,28.863,71.286
ssd_vgg,pi5_coral_a,2,0.97753,28.127,90.333
ssd_vgg,pi5_coral_a,3,1.22251,27.39,112.971
ssd_vgg,pi5_coral_b,0,0.62836,29.6,58.197
ssd_vgg,pi5_coral_b,1,0.76592,28.863,70.938
ssd_vgg,pi5_coral_b,2,0.94585,28.127,87.602
ssd_vgg,pi5_coral_b,3,1.20094,27.39,111.228
ssd_vgg,pi4_coral,0,0.69566,29.6,82.464
ssd_vgg,pi4_coral,1,0.82287,28.863,97.544
ssd_vgg,pi4_coral,2,1.05933,28.127,125.574
ssd_vgg,pi4_coral,3,1.30719,27.39,154.955
yolov8l,orin_nano,0,0.17352,38.1,14.042
yolov8l,orin_nano,1,0.20898,37.169,16.912
yolov8l,orin_nano,2,0.26886,36.237,21.757
yolov8l,orin_nano,3,0.33764,35.306,27.323
yolov8l,pi5_aihat_a,0,0.20705,37.529,10.108
yolov8l,pi5_aihat_a,1,0.26081,36.611,12.732
yolov8l,pi5_aihat_a,2,0.31959,35.694,15.601
yolov8l,pi5_aihat_a,3,0.40799,34.776,19.917
yolov8l,pi5_aihat_b,0,0.2167,37.529,10.586
yolov8l,pi5_aihat_b,1,0.26173,36.611,12.786
yolov8l,pi5_aihat_b,2,0.32756,35.694,16.002
yolov8l,pi5_aihat_b,3,0.40488,34.776,19.779
yolov8l,pi5_coral_a,0,0.29867,37.529,17.166
yolov8l,pi5_coral_a,1,0.37553,36.611,21.583
yolov8l,pi5_coral_a,2,0.46871,35.694,26.938
yolov8l,pi5_coral_a,3,0.58803,34.776,33.797
yolov8l,pi5_coral_b,0,0.2923,37.529,16.838
yolov8l,pi5_coral_b,1,0.35886,36.611,20.671
yolov8l,pi5_coral_b,2,0.46168,35.694,26.595
yolov8l,pi5_coral_b,3,0.56609,34.776,32.609
yolov8l,pi4_coral,0,0.34768,37.529,27.477
yolov8l,pi4_coral,1,0.41921,36.611,33.129
yolov8l,pi4_coral,2,0.53513,35.694,42.29
yolov8l,pi4_coral,3,0.67758,34.776,53.547
faster_rcnn_r50,orin_nano,0,0.23615,39.2,19.11
faster_rcnn_r50,orin_nano,1,0.28005,38.264,22.663
faster_rcnn_r50,orin_nano,2,0.35533,37.328,28.755
faster_rcnn_r50,orin_nano,3,0.45447,36.393,36.778
faster_rcnn_r50,pi5_aihat_a,0,0.95886,39.2,73.759
faster_rcnn_r50,pi5_aihat_a,1,1.13605,38.264,87.388
faster_rcnn_r50,pi5_aihat_a,2,1.45708,37.328,112.083
faster_rcnn_r50,pi5_aihat_a,3,1.83316,36.393,141.012
faster_rcnn_r50,pi5_aihat_b,0,0.94148,39.2,72.474
faster_rcnn_r50,pi5_aihat_b,1,1.17311,38.264,90.304
faster_rcnn_r50,pi5_aihat_b,2,1.48576,37.328,114.372
faster_rcnn_r50,pi5_aihat_b,3,1.83478,36.393,141.238
faster_rcnn_r50,pi5_coral_a,0,1.04091,39.2,96.189
faster_rcnn_r50,pi5_coral_a,1,1.27469,38.264,117.793
faster_rcnn_r50,pi5_coral_a,2,1.58344,37.328,146.325
faster_rcnn_r50,pi5_coral_a,3,1.97623,36.393,182.622
faster_rcnn_r50,pi5_coral_b,0,1.01264,39.2,93.788
faster_rcnn_r50,pi5_coral_b,1,1.26431,38.264,117.097
faster_rcnn_r50,pi5_coral_b,2,1.59553,37.328,147.774
faster_rcnn_r50,pi5_coral_b,3,2.01385,36.393,186.517
faster_rcnn_r50,pi4_coral,0,1.14446,39.2,135.666
faster_rcnn_r50,pi4_coral,1,1.39957,38.264,165.907
faster_rcnn_r50,pi4_coral,2,1.73174,37.328,205.283
faster_rcnn_r50,pi4_coral,3,2.20762,36.393,261.694
